Fecha,Día,Sedes,Resultado,GF,GC,Adversario,Formación,Árbitro,Anfitrion,Edad(opp),Pos.(opp),Ass(opp),TPint(opp),PrgC(opp),PrgP(opp),% de TT(opp),Dist(opp),% Cmp(opp),Dist. tot.(opp),TklG(opp),Int(opp),Err(opp),RL(opp),PG(opp),PE(opp),PP(opp),GF(opp),GC(opp),xG(opp),xGA(opp),Últimos 5(opp),Máximo Goleador del Equipo(opp),Edad(tm),Pos.(tm),Ass(tm),TPint(tm),PrgC(tm),PrgP(tm),% de TT(tm),Dist(tm),% Cmp(tm),Dist. tot.(tm),TklG(tm),Int(tm),Err(tm),RL(tm),PG(tm),PE(tm),PP(tm),GF(tm),GC(tm),xG(tm),xGA(tm),Últimos 5(tm),Máximo Goleador del Equipo(tm)
2024-02-17,6,0,3,2,1,Celta Vigo,4-3-3,Juan Pulido,Barcelona,26.6,56.3,8.0,2.0,105.0,258.0,45.6,15.7,85.2,50856.0,44.0,39.0,2.0,9.0,3.0,0.0,3.0,14.0,13.0,9.6,8.1,6.0,3.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-02-24,6,1,3,4,0,Getafe,4-3-3,Alejandro Muñíz,Barcelona,27.2,44.5,2.0,1.0,72.0,171.0,19.0,21.5,65.2,25686.0,66.0,32.0,2.0,18.0,0.0,4.0,2.0,3.0,5.0,5.0,5.2,3.0,1.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-03-03,7,0,2,0,0,Athletic Club,4-3-3,Alejandro Hernández,Barcelona,27.2,46.9,9.0,1.0,106.0,283.0,35.9,17.4,78.4,44080.0,51.0,69.0,6.0,3.0,4.0,1.0,2.0,11.0,7.0,6.7,8.1,12.0,3.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-03-08,5,1,3,1,0,Mallorca,4-3-3,Javier Villanueva,Barcelona,28.9,44.4,4.0,1.0,99.0,226.0,36.6,16.7,77.9,43384.0,70.0,62.0,2.0,5.0,3.0,2.0,2.0,6.0,5.0,6.0,5.6,10.0,2.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-03-17,7,0,3,3,0,Atlético Madrid,4-3-3,José Sánchez,Barcelona,29.2,51.3,8.0,0.0,93.0,261.0,35.9,15.6,83.7,49496.0,55.0,40.0,4.0,4.0,3.0,3.0,0.0,10.0,3.0,10.0,4.2,11.0,2.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-03-30,6,1,3,1,0,Las Palmas,4-3-3,Mateo Busquets,Barcelona,28.0,57.7,5.0,0.0,82.0,219.0,41.4,17.6,81.1,45938.0,59.0,50.0,1.0,20.0,0.0,2.0,4.0,7.0,12.0,6.0,11.6,1.0,3.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-04-13,6,0,3,1,0,Cádiz,4-3-3,Juan Pulido,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-04-21,7,0,1,2,3,Real Madrid,4-3-3,César Soto,Barcelona,27.7,61.8,7.0,5.0,168.0,392.0,37.0,18.0,88.2,59785.0,62.0,50.0,1.0,2.0,4.0,2.0,0.0,13.0,3.0,14.3,4.2,13.0,4.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-04-29,1,1,3,4,2,Valencia,4-3-3,Ricardo de Burgos,Barcelona,24.3,46.0,4.0,0.0,90.0,210.0,23.2,18.6,78.0,39389.0,62.0,41.0,2.0,19.0,1.0,1.0,4.0,5.0,10.0,3.6,9.8,4.0,2.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-05-04,6,0,1,2,4,Girona,4-3-3,Alejandro Hernández,Barcelona,27.5,56.7,6.0,1.0,106.0,282.0,33.3,17.0,86.9,53461.0,64.0,42.0,3.0,12.0,2.0,1.0,3.0,8.0,10.0,8.3,5.9,6.0,2.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-05-13,1,1,3,2,0,Real Sociedad,4-3-3,Guillermo Cuadra,Barcelona,25.9,57.7,2.0,0.0,125.0,270.0,26.5,18.1,79.2,49290.0,62.0,43.0,6.0,16.0,1.0,2.0,4.0,3.0,7.0,5.9,9.3,2.0,1.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-05-16,4,0,3,2,0,Almería,4-3-3,Javier Alberola,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-05-19,7,1,3,3,0,Rayo Vallecano,4-2-3-1,Jesús Gil,Barcelona,29.4,49.0,8.0,0.0,80.0,209.0,31.5,21.4,72.9,33205.0,72.0,61.0,0.0,10.0,2.0,2.0,2.0,8.0,7.0,6.3,5.4,5.0,2.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-05-26,7,0,3,2,1,Sevilla,4-3-3,Javier Villanueva,Barcelona,26.5,56.8,4.0,0.0,101.0,214.0,35.7,19.1,81.6,41251.0,60.0,47.0,1.0,15.0,1.0,2.0,3.0,5.0,8.0,6.5,7.2,4.0,2.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
